dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.988159,18.432967,18.756957,9.282609,-32.608696,0.000000,2.356194
0.020000,35.866107,18.555020,18.929565,8.630435,-32.608696,-0.000000,2.356194
0.020000,35.753277,18.667850,19.089130,7.978261,-32.608696,0.000000,2.356194
0.020000,35.649670,18.771456,19.235652,7.326087,-32.608696,0.000000,2.356194
0.020000,35.555287,18.865840,19.369130,6.673913,-32.608696,-0.000000,2.356194
0.020000,35.470127,18.951000,19.489565,6.021739,-32.608696,0.000000,2.356194
0.020000,35.394190,19.026937,19.596957,5.369565,-32.608696,-0.000000,2.356194
0.020000,35.327476,19.093651,19.691304,4.717391,-32.608696,0.000000,2.356194
0.020000,35.269985,19.151142,19.772609,4.065217,-32.608696,-0.000000,2.356194
0.020000,35.221717,19.199409,19.840870,3.413043,-32.608696,0.000000,2.356194
0.020000,35.182672,19.238454,19.896087,2.760870,-32.608696,-0.000000,2.356194
0.020000,35.152851,19.268275,19.938261,2.108696,-32.608696,0.000000,2.356194
0.020000,35.132007,19.289120,19.967739,1.473913,-31.739130,43.478261,2.356194
0.020000,35.118971,19.302155,19.986174,0.921739,-27.608696,206.521739,2.356194
0.020000,35.111900,19.309226,19.996174,0.500000,-21.086957,326.086957,2.356194
0.020000,35.108949,19.312178,20.000348,0.208696,-14.565217,326.086957,2.356194
0.020000,35.108272,19.312854,20.001304,0.047826,-8.043478,326.086957,2.356194
0.020000,35.108272,19.312854,20.001304,0.000000,-2.391304,282.608696,2.356194
